YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WD50M,PM2.5
2021,5,30,32.57,19.97,26.26,34.58,37.93,27.6,15.32,49.62,0.09,95.96,4.23,6.45,2.55,290.88,5.77,7.73,4.24,292.06,19.53333333
2021,5,31,33.61,19.29,26.44,36.56,40.03,26.94,14.71,45.44,0.01,95.77,3.8,6.18,2.39,292.44,5.07,7.05,3.7,292.88,22.84166667
2021,6,1,32.63,20.92,26.78,35.03,38.04,27.69,16.3,52,8.71,95.84,3.32,5.54,2.12,295.62,4.58,7,2.77,296,18.80833333
2021,6,2,29.08,22.23,25.65,30.37,34.12,25.62,17.58,68.06,3.13,96.05,3.34,5.61,1,240.38,4.3,6.49,1.12,241,19.93333333
2021,6,3,29.92,20.48,25.19,32.24,35.57,24.17,15.81,60.31,0.18,96.12,2.75,3.78,0.69,204.06,3.82,6.12,0.84,204.62,18.78333333
2021,6,4,29.34,21.08,25.21,31.81,33.87,25.81,16.36,62.62,4.55,96.19,1.62,3.52,0.45,248.12,2.2,4.34,0.63,252.56,11.7375
2021,6,5,29.09,21.61,25.35,31.14,33.26,25.6,16.91,65.56,7.08,96.11,1.11,2.09,0.2,149.25,1.69,3.95,0.27,147.19,12.7875
2021,6,6,30.69,21.57,26.13,33.12,36.49,25.19,16.91,61.31,3.28,96.05,2.16,3.23,0.54,215.56,3.25,6,0.82,216.5,17.95
2021,6,7,30.44,21.8,26.12,32.3,35.63,25.83,17.09,61.88,0.82,96.02,3.94,5.29,2.78,277.56,5.54,6.43,4.67,277.62,13.925
2021,6,8,30.23,21.68,25.95,31.79,35.44,25.48,17.03,62.12,3.47,95.92,4.7,6.82,2.16,283.62,6.32,7.93,4.51,283.56,14.825
2021,6,9,28.7,23.08,25.9,29.8,33.35,25.33,18.55,72.88,11.57,95.78,4.95,6.78,1.55,290.31,6.46,8.03,3,290.5,14.725
2021,6,10,27.57,22.9,25.24,28.27,31.23,24.65,18.37,76.81,12.48,95.68,5.48,6.67,2.23,284.94,7.09,8.74,4.29,285.62,15.79583333
